Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=152,2,0,122.14243412017822,128.44563857652247,122.14243412017822,134.74884303286672,28518.0,0.03355676419511156,0.0,130,130,130,130,130,130,130,130,130,130,130
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=153,2,0,130.0,137.1546322479844,126.36516010388732,147.9441043920815,28805.5,0.03355676419511156,0.0,150,150,150,150,150,150,150,150,150,150,150
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=154,1,0,131.9505670107901,131.9505670107901,131.9505670107901,131.9505670107901,29383.0,0.01677838209755578,0.0,130,130,130,130,130,130,130,130,130,130,130
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=155,7,0,140.0,141.15361882639783,68.66076169535518,194.87188197672367,28781.85714285714,0.11744867468289046,0.0,140,160,190,190,190,190,190,190,190,190,190
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=156,2,0,130.0,128.05238203145564,125.7607159204781,130.34404814243317,28511.0,0.03355676419511156,0.0,130,130,130,130,130,130,130,130,130,130,130
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=157,3,0,150.0,136.5657914429903,107.28134494274855,156.93247318267822,28215.0,0.05033514629266734,0.0,150,150,160,160,160,160,160,160,160,160,160
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=158,1,0,225.53653083741665,225.53653083741665,225.53653083741665,225.53653083741665,28805.0,0.01677838209755578,0.0,230,230,230,230,230,230,230,230,230,230,230
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=159,3,0,190.0,156.23340662568808,87.28089602664113,192.87460297346115,29574.333333333332,0.05033514629266734,0.0,190,190,190,190,190,190,190,190,190,190,190
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=16,2,0,110.0,134.0122576802969,107.19422437250614,160.83029098808765,29329.0,0.03355676419511156,0.0,160,160,160,160,160,160,160,160,160,160,160
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=160,2,0,86,111.90326861105859,85.86638979613781,137.94014742597938,28516.0,0.03355676419511156,0.0,140,140,140,140,140,140,140,140,140,140,140
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=161,3,0,120.0,150.59838506082693,115.25395372882485,221.2387532927096,28958.666666666668,0.05033514629266734,0.0,120,120,220,220,220,220,220,220,220,220,220
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=162,3,0,140.0,142.18912987659374,111.2644961103797,171.21133813634515,28577.333333333332,0.05033514629266734,0.0,140,140,170,170,170,170,170,170,170,170,170
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=163,4,0,100.0,121.89252814278007,77.24345568567514,164.83148001134396,28639.25,0.06711352839022312,0.0,140,140,160,160,160,160,160,160,160,160,160
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=164,2,0,120.0,128.92343499697745,115.03544123843312,142.81142875552177,28508.0,0.03355676419511156,0.0,140,140,140,140,140,140,140,140,140,140,140
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=165,3,0,110.0,102.13037921736638,86.3419072702527,111.35175824165344,28608.333333333332,0.05033514629266734,0.0,110,110,110,110,110,110,110,110,110,110,110
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=166,3,0,120.0,122.3830571398139,102.21648216247559,146.63234306499362,29371.666666666668,0.05033514629266734,0.0,120,120,150,150,150,150,150,150,150,150,150
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=167,2,0,110.0,127.15114955790341,109.081513248384,145.22078586742282,28777.0,0.03355676419511156,0.0,150,150,150,150,150,150,150,150,150,150,150
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=168,1,0,153.63312512636185,153.63312512636185,153.63312512636185,153.63312512636185,30094.0,0.01677838209755578,0.0,150,150,150,150,150,150,150,150,150,150,150
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=169,1,0,128.99021478369832,128.99021478369832,128.99021478369832,128.99021478369832,29942.0,0.01677838209755578,0.0,130,130,130,130,130,130,130,130,130,130,130
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=17,1,0,165.23372242227197,165.23372242227197,165.23372242227197,165.23372242227197,29358.0,0.01677838209755578,0.0,170,170,170,170,170,170,170,170,170,170,170
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=170,3,0,140.0,155.54927522316575,128.36369592696428,199.78847680613399,28609.666666666668,0.05033514629266734,0.0,140,140,200,200,200,200,200,200,200,200,200
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=172,2,0,110.0,116.4788375608623,105.1818379200995,127.77583720162511,28516.0,0.03355676419511156,0.0,130,130,130,130,130,130,130,130,130,130,130
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=173,2,0,110.08858820423484,115.37416302599013,110.08858820423484,120.65973784774542,28492.0,0.03355676419511156,0.0,120,120,120,120,120,120,120,120,120,120,120
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=174,2,0,98,103.09094074182212,97.59393567219377,108.58794581145048,29053.5,0.03355676419511156,0.0,110,110,110,110,110,110,110,110,110,110,110
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=175,2,0,133.7099727243185,157.7767168637365,133.7099727243185,181.84346100315452,29715.0,0.03355676419511156,0.0,180,180,180,180,180,180,180,180,180,180,180
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=176,3,0,110.0,109.52506540343165,102.94464835897088,117.79243685305119,28222.0,0.05033514629266734,0.0,110,110,120,120,120,120,120,120,120,120,120
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=177,2,0,96,111.10587720759213,95.74535116553307,126.4664032496512,29064.0,0.03355676419511156,0.0,130,130,130,130,130,130,130,130,130,130,130
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=178,3,0,130.0,134.1002540042003,118.28223010525107,157.6636228710413,28416.333333333332,0.05033514629266734,0.0,130,130,160,160,160,160,160,160,160,160,160
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=179,3,0,160.0,162.26433031260967,137.94397143647075,192.02776160091162,29352.0,0.05033514629266734,0.0,160,160,190,190,190,190,190,190,190,190,190
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=18,5,0,130.0,134.90608427673578,92.13567292317748,197.5802448578179,28923.6,0.0838919104877789,0.0,130,140,140,200,200,200,200,200,200,200,200
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=180,1,0,113.01946267485619,113.01946267485619,113.01946267485619,113.01946267485619,29351.0,0.01677838209755578,0.0,110,110,110,110,110,110,110,110,110,110,110
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=181,3,0,200.0,204.22325795516372,141.753523144871,269.95022688061,28595.333333333332,0.05033514629266734,0.0,200,200,270,270,270,270,270,270,270,270,270
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=182,1,0,156.62542404606938,156.62542404606938,156.62542404606938,156.62542404606938,28226.0,0.01677838209755578,0.0,160,160,160,160,160,160,160,160,160,160,160
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=183,7,0,140.0,149.29480677736657,82.66201987862587,196.24671107158065,28725.571428571428,0.11744867468289046,0.0,140,190,190,190,200,200,200,200,200,200,200
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=184,1,0,165.45412875711918,165.45412875711918,165.45412875711918,165.45412875711918,29966.0,0.01677838209755578,0.0,170,170,170,170,170,170,170,170,170,170,170
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=185,2,0,150.0,159.78558221831918,149.64232873171568,169.92883570492268,29349.5,0.03355676419511156,0.0,170,170,170,170,170,170,170,170,170,170,170
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=186,5,0,140.0,148.65075536072254,122.79527820646763,200.4617042839527,29113.8,0.0838919104877789,0.0,140,160,160,200,200,200,200,200,200,200,200
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=187,3,0,120.0,178.50580594191948,91.36231616139412,320.5307302996516,28969.0,0.05033514629266734,0.0,120,120,320,320,320,320,320,320,320,320,320
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=188,2,0,114.16208418086171,132.35220964998007,114.16208418086171,150.54233511909842,29362.5,0.03355676419511156,0.0,150,150,150,150,150,150,150,150,150,150,150
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=189,1,0,132.26192723959684,132.26192723959684,132.26192723959684,132.26192723959684,29363.0,0.01677838209755578,0.0,130,130,130,130,130,130,130,130,130,130,130
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=19,4,0,120.0,120.01892109401524,93.72307593002915,137.85399170592427,28935.0,0.06711352839022312,0.0,130,130,140,140,140,140,140,140,140,140,140
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=190,3,0,140.0,164.0923603748282,129.30483603850007,219.94372317567468,28417.0,0.05033514629266734,0.0,140,140,220,220,220,220,220,220,220,220,220
