Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=153,5,0,620.0,566.3903515785933,400.5901338532567,684.2418438754976,28799.8,0.0844989754043124,0.0,620,650,650,680,680,680,680,680,680,680,680
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=154,3,0,610.0,575.5048027882973,405.0147859379649,708.2745563238859,28800.0,0.050699385242587436,0.0,610,610,710,710,710,710,710,710,710,710,710
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=155,2,0,422.01994685456157,568.0910989176482,422.01994685456157,714.1622509807348,28211.0,0.03379959016172496,0.0,710,710,710,710,710,710,710,710,710,710,710
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=156,5,0,380.0,431.1432967893779,361.0659088008106,554.770871065557,28675.4,0.0844989754043124,0.0,380,490,490,550,550,550,550,550,550,550,550
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=157,2,0,590.990595985204,698.4641544986516,590.990595985204,805.9377130120993,29366.5,0.03379959016172496,0.0,810,810,810,810,810,810,810,810,810,810,810
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=159,3,0,660.0,608.6401706561446,498.11417842283845,667.658494785428,28230.0,0.050699385242587436,0.0,660,660,670,670,670,670,670,670,670,670,670
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=16,4,0,510.0,588.1847392302006,370.5170941539109,896.6904352419078,28907.75,0.06759918032344991,0.0,570,570,900,900,900,900,900,900,900,900,900
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=160,4,0,460.0,664.7962895222008,393.45471281558275,1054.6030276454985,28958.75,0.06759918032344991,0.0,750,750,1100,1100,1100,1100,1100,1100,1100,1100,1100
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=161,3,0,810.0,749.5598644018173,517.0178241096437,926.3599109835923,29159.0,0.050699385242587436,0.0,810,810,930,930,930,930,930,930,930,930,930
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=163,5,0,570.0,507.06828786060214,352.60232631117105,647.8830142877996,28672.4,0.0844989754043124,0.0,570,590,590,650,650,650,650,650,650,650,650
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=164,2,0,470.0,608.6689457297325,467.94973919168115,749.3881522677839,28222.0,0.03379959016172496,0.0,750,750,750,750,750,750,750,750,750,750,750
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=165,2,0,512.8788878209889,835.9598533716053,512.8788878209889,1159.0408189222217,28806.5,0.03379959016172496,0.0,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=166,5,0,760.0,801.8448382616043,577.5374160148203,1238.9639560133219,28910.6,0.0844989754043124,0.0,760,780,780,1200,1200,1200,1200,1200,1200,1200,1200
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=167,5,0,580.0,634.131711255759,386.96377631276846,916.4571659639478,28897.8,0.0844989754043124,0.0,580,820,820,920,920,920,920,920,920,920,920
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=168,4,0,560.0,639.8087972775102,320.5299088731408,851.2478289194405,29072.75,0.06759918032344991,0.0,830,830,850,850,850,850,850,850,850,850,850
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=169,1,0,466.20238525792956,466.20238525792956,466.20238525792956,466.20238525792956,28777.0,0.01689979508086248,0.0,470,470,470,470,470,470,470,470,470,470,470
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=17,6,0,570.0,559.8712142091244,368.60667960718274,781.5511669032276,28499.833333333332,0.10139877048517487,0.0,590,590,630,630,780,780,780,780,780,780,780
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=170,6,0,540.0,610.5842201504856,409.91051122546196,818.3040581643581,28893.833333333332,0.10139877048517487,0.0,670,670,700,700,820,820,820,820,820,820,820
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=171,2,0,530.0526446662843,633.0907919909805,530.0526446662843,736.1289393156767,28521.5,0.03379959016172496,0.0,740,740,740,740,740,740,740,740,740,740,740
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=172,3,0,620.0,622.0982414670289,451.2548088096082,796.2176236324012,28808.333333333332,0.050699385242587436,0.0,620,620,800,800,800,800,800,800,800,800,800
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=173,3,0,690.0,688.9297113132974,645.021271891892,732.1469788439572,28585.0,0.050699385242587436,0.0,690,690,730,730,730,730,730,730,730,730,730
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=174,4,0,500.0,592.5152777926996,357.5466303154826,847.1079911105335,28489.25,0.06759918032344991,0.0,670,670,850,850,850,850,850,850,850,850,850
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=176,4,0,600.0,774.4514694204554,481.05703108012676,1072.562478017062,29082.25,0.06759918032344991,0.0,940,940,1100,1100,1100,1100,1100,1100,1100,1100,1100
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=177,3,0,810.0,792.3622390565773,743.4088541194797,827.7768190018833,28614.333333333332,0.050699385242587436,0.0,810,810,830,830,830,830,830,830,830,830,830
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=178,5,0,360.0,392.27704936638474,320.8389300853014,557.2898448444903,28456.0,0.0844989754043124,0.0,360,390,390,560,560,560,560,560,560,560,560
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=179,2,0,610.0,709.7739719320089,605.1756567321718,814.372287131846,28510.0,0.03379959016172496,0.0,810,810,810,810,810,810,810,810,810,810,810
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=18,4,0,610.0,641.468646354042,539.5917859859765,723.6395622603595,28659.75,0.06759918032344991,0.0,690,690,720,720,720,720,720,720,720,720,720
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=180,4,0,700.0,693.1018606992438,520.752573851496,779.1715259663761,28788.75,0.06759918032344991,0.0,770,770,780,780,780,780,780,780,780,780,780
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=181,4,0,680.0,760.2018491597846,454.8909403383732,990.5509571544826,28789.75,0.06759918032344991,0.0,910,910,990,990,990,990,990,990,990,990,990
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=182,4,0,500.0,598.6665838863701,475.94636818394065,807.781704235822,28511.25,0.06759918032344991,0.0,610,610,810,810,810,810,810,810,810,810,810
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=183,2,0,500.0,576.8447599839419,496.97788804769516,656.7116319201887,28804.5,0.03379959016172496,0.0,660,660,660,660,660,660,660,660,660,660,660
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=184,1,0,709.7448697313666,709.7448697313666,709.7448697313666,709.7448697313666,28230.0,0.01689979508086248,0.0,710,710,710,710,710,710,710,710,710,710,710
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=185,4,0,540.0,579.3642009375617,533.3122508600354,683.5360708646476,29197.75,0.06759918032344991,0.0,560,560,680,680,680,680,680,680,680,680,680
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=186,2,0,320.0,625.8861571550369,315.67380111664534,936.0985131934285,28202.0,0.03379959016172496,0.0,940,940,940,940,940,940,940,940,940,940,940
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=187,4,0,590.0,645.1768513070419,471.38465102761984,813.8993890024722,28923.25,0.06759918032344991,0.0,710,710,810,810,810,810,810,810,810,810,810
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=188,6,0,740.0,693.329035382097,342.4935797229409,920.0907410122454,28796.0,0.10139877048517487,0.0,840,840,870,870,920,920,920,920,920,920,920
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=189,2,0,493.36047284305096,687.651104060933,493.36047284305096,881.941735278815,28513.5,0.03379959016172496,0.0,880,880,880,880,880,880,880,880,880,880,880
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=19,2,0,470.0,703.1644328963012,465.8207348547876,940.5081309378147,28209.0,0.03379959016172496,0.0,940,940,940,940,940,940,940,940,940,940,940
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=190,3,0,570.0,689.7394903935492,500.52893813699484,999.699471052736,28795.666666666668,0.050699385242587436,0.0,570,570,1000,1000,1000,1000,1000,1000,1000,1000,1000
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=191,5,0,520.0,513.7685576453805,347.2566045820713,708.0349419265985,28666.8,0.0844989754043124,0.0,520,540,540,710,710,710,710,710,710,710,710
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=192,5,0,570.0,671.8763291835785,515.5465961433947,955.4629432968795,29243.8,0.0844989754043124,0.0,570,760,760,960,960,960,960,960,960,960,960
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=193,4,0,560.0,581.0092118335888,487.62061819434166,680.6814628653228,28786.0,0.06759918032344991,0.0,590,590,680,680,680,680,680,680,680,680,680
